index,λ_1,λ_2,μ_1,μ_2,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,prob,CI,halfCI,RE,ratio of event 1,ratio of event 2,total ratio,conditional ratio,likelihood event 1,likelihood event 2,var event 1,var event 2,var total,
2022-02-27 23:32:29.985161,0.6,0.8333,2.0,1.2,100000,18.196759939193726,1883448,1.5219931647846598,"[1.461,1.583]",0.06105025015057678,0.02046532634456724,1.4998887630233606,"[1.483,1.516]",0.016446506024666768,0.005594464542468417,0.9854766747494383,"[0.9468,1.024]",0.038720100508716375,0.020046292141614103,5,0.0049688876772539525,"[0.004845,0.005093]",0.00012392158811585203,0.01272423611999407,0.0032647240422771402,"[0.003109,0.003421]",0.00015601495489930449,0.024381683031880062,0.15311,0.35051,0.50362,0.6959810968587427,0.01230466079271298,0.008801235523327918,0.000904897758918766,0.0006720268142392464,0.00039974385675642653,0.2,0.4666,1.0,0.2,0.4997983007214542,"[0.468,0.5316]",0.03177486779380638,0.03243641928821398,22.14578676223755,0.9985921341525178,"[0.9711,1.026]",0.027476073149831318,0.014038168526310678,22.154540061950684,1.997990254690861,"[1.881,2.115]",0.11691125563041428,0.029854299675082744,22.180001974105835,0.02527086022828025,"[0.0241,0.02644]",0.0011713657935282149,0.02364919925733915,22.22220277786255,0.050562117141658945,"[0.04684,0.05428]",0.003721029538176114,0.03754756654936285,22.235393524169922,0.48862,0.00345,0.49207,0.007011197593838275,0.05036301603329359,0.19202415480937368,0.07127354064548756,0.04730613674275971,0.035716832107663084,0.0037366142352324347,"[0.003593,0.00388]",0.00014313998866671647,0.019544593545142236,23.76706027984619,0.007476244376658878,"[0.006919,0.008034]",0.0005573354484748701,0.03803444701971094,23.78012490272522,0.40851,0.00422,0.41273,0.010224602040074625,0.008889011189822877,0.024967837459215676,0.0012250048619847848,0.002837336065467656,0.0005333469480296678
2022-02-27 23:33:20.753823,0.6,0.8998870926555549,2.0,1.0758906952016303,100000,20.62167263031006,2383494,1.5465628457279224,"[1.47,1.623]",0.07693284476137904,0.025379797217611508,1.5095605433556734,"[1.486,1.533]",0.023772007992918273,0.008034507499533456,0.9760744915898758,"[0.9305,1.022]",0.045600882807400774,0.023836046054734817,5,0.0050320406815088535,"[0.004898,0.005166]",0.0001342699648468118,0.01361377787688613,0.0032536929846781735,"[0.003068,0.003439]",0.00018538905136712656,0.029070428938109905,0.27386,0.31401,0.58787,0.5341487063466412,0.006981596995120055,0.009936182059250585,0.000451136174370601,0.0010404693200847112,0.0004692946548303853,0.2,0.6142637224394023,1.0,0.2424444477171096,0.5158370719306337,"[0.4756,0.5561]",0.040235940627865535,0.03979656029729215,24.471712112426758,0.9954395579178948,"[0.9659,1.025]",0.02958768981055668,0.015164918841483289,24.48014998435974,1.9297557544521635,"[1.786,2.074]",0.14379528204467834,0.038017733409760425,24.50477647781372,0.0247574842423269,"[0.02371,0.02581]",0.0010508798583401893,0.021656610493325148,24.54686427116394,0.047994775074359376,"[0.04376,0.05223]",0.0042352253942644,0.045022177506616884,24.559527158737183,0.57536,0.00377,0.57913,0.006509764646970456,0.04150937103040776,0.2320033226184297,0.04701117674897719,0.29639143570714915,0.02874709695608852,0.003718262373923273,"[0.003536,0.003901]",0.00018244789022936638,0.025034720231985923,26.076293230056763,0.007208210840695994,"[0.006542,0.007875]",0.0006663996648100188,0.04716840787524391,26.08932113647461,0.48517,0.00619,0.49135999999999996,0.012597688049495279,0.007451978550376155,0.01660516003833179,0.0017347334664080277,0.001620288708790635,0.0008664939777474732
2022-02-27 23:34:21.436094,0.6,0.8204897498205567,2.0,1.3366737345090036,100000,16.685903072357178,1706561,1.5215206744379628,"[1.496,1.547]",0.025072729195058957,0.008407515578264885,1.5042410382232059,"[1.488,1.52]",0.01574525510952129,0.0053404296380013625,0.9886431801387517,"[0.972,1.005]",0.016640997276745926,0.008587835230747314,5,0.0049135508235030835,"[0.004789,0.005039]",0.00012503231792343732,0.012982871498019667,0.003229368424663772,"[0.003128,0.003331]",0.00010123016201663792,0.01599323305782331,0.08868,0.16854,0.25722,0.6552367623046419,0.021282564224101883,0.017955458811615813,0.0011803877248928202,0.001375956330307747,0.0004069419128828485,0.2,0.5791510463854309,1.0,0.4373962955149862,0.5043487444880984,"[0.4949,0.5138]",0.009492836965901507,0.009603045946296731,20.58084750175476,0.9980361244817174,"[0.9863,1.01]",0.011689908986153777,0.005975975350338276,20.589327335357666,1.9788611261334645,"[1.942,2.015]",0.0365365766168059,0.009420120630294937,20.614349365234375,0.0247580234235094,"[0.02433,0.02519]",0.00042735669143095795,0.008806806769318193,20.657552480697632,0.0490890949845393,"[0.04782,0.05035]",0.0012657202450239175,0.013155175002099197,20.67072296142578,0.41481,0.00911,0.42392,0.021489903755425553,0.05784478986197921,0.08380089361820009,0.00919891245380763,0.010903047703628863,0.004754106146158244,0.00381026010129214,"[0.003735,0.003885]",7.493633645150847e-05,0.010034177117512746,22.21834421157837,0.007554812305837026,"[0.00734,0.00777]",0.00021468826138363922,0.014498682800090406,22.23149609565735,0.39991,0.01526,0.41517,0.036756027651323554,0.009268198224035736,0.006803076639450128,0.00031031608635362715,0.00010066416271277843,0.00014617488860822777
2022-02-27 23:35:03.557272,0.6,0.8017380259860238,2.0,1.3665636797944918,100000,16.768377780914307,1685221,1.5042587622893009,"[1.479,1.53]",0.02567327498163942,0.008707683819355255,1.5054418595468377,"[1.491,1.52]",0.01493396496016238,0.005061218292367279,1.0007864984982613,"[0.9835,1.018]",0.017284256159436972,0.008811567755721865,5,0.0050892355865348,"[0.004951,0.005228]",0.00013871059675757308,0.013905961205384437,0.003383218176365877,"[0.003271,0.003495]",0.00011185711324182173,0.01686854135931774,0.08021,0.18133,0.26154,0.693316509902883,0.02405463323386292,0.01742576217309135,0.0018038888501533921,0.001547378102430544,0.0005008493766358301,0.2,0.579801196549211,1.0,0.4237711449316795,0.4976013967782063,"[0.4883,0.5069]",0.009344887177414555,0.009581563900711234,20.700238466262817,1.0005007891756608,"[0.9889,1.012]",0.011627330204463398,0.0059293419785262196,20.70864748954773,2.010647067418924,"[1.973,2.048]",0.03729708060648284,0.009464178505896302,20.73349404335022,0.024938995637648776,"[0.02453,0.02535]",0.0004125566550691343,0.008440118935793339,20.775779962539673,0.050118419681134306,"[0.04887,0.05137]",0.0012520269648893185,0.012745598761190136,20.78883123397827,0.41347,0.0095,0.42297,0.02246022176513701,0.05835022163085852,0.08557152630923211,0.008357099035719113,0.012604464779810216,0.004430523574599976,0.003894660667262474,"[0.00382,0.003969]",7.420113989645555e-05,0.009720416660478154,22.341331005096436,0.007826868438229936,"[0.00761,0.008044]",0.00021718044172546022,0.014157175209165963,22.354278564453125,0.3991,0.01575,0.41485,0.03796552970953357,0.009488494621855722,0.006844600868562215,0.00030092325801139256,0.00010928195938718573,0.00014332072995453372
2022-02-27 23:36:46.285089,0.6,0.8394579259348436,2.0,1.3421835386475596,100000,16.9463894367218,1735256,1.5043142803953344,"[1.48,1.529]",0.024305554731754237,0.008243485681215445,1.5077048044940888,"[1.482,1.533]",0.025575087603169407,0.008654554952902823,1.0022538668567738,"[0.9804,1.024]",0.02185104789372915,0.011123423108652736,5,0.005125362797606016,"[0.004834,0.005417]",0.00029173941357597507,0.029041190927811645,0.0034071090492201325,"[0.003204,0.00361]",0.00020325551623889113,0.030436887255830863,0.08894,0.1704,0.25934,0.6570525179301303,0.023687653513384213,0.017714688345807653,0.021248610155818963,0.001458757279130471,0.002215532211413313,0.2,0.5982263254131608,1.0,0.4413138790146214,0.49219704473543,"[0.4831,0.5012]",0.009052949831078363,0.009384152148078384,20.79665517807007,1.0004495274632594,"[0.983,1.018]",0.017478231905754083,0.008913458413688223,20.80520248413086,2.032619939847525,"[1.987,2.079]",0.04606128421344084,0.01156175571745207,20.830016136169434,0.02492794933895759,"[0.02448,0.02537]",0.0004446142536891053,0.009099986681604968,20.872485876083374,0.050646279992105754,"[0.04932,0.05197]",0.0013220457044453517,0.013318117631108762,20.88530945777893,0.42497,0.00953,0.4345,0.02193325661680092,0.05671985612684795,0.08643358664543722,0.009661011656243694,0.02342052742113898,0.005145820350466477,0.00396573116031001,"[0.003875,0.004057]",9.101575391113466e-05,0.011709469770185821,22.393198490142822,0.008057202298810438,"[0.007811,0.008303]",0.00024576178221997634,0.01556230807515649,22.405975818634033,0.40966,0.01708,0.42674,0.040024370811266814,0.009438837092661323,0.005797257431520619,0.00047122802096163794,7.308594172566796e-05,0.0002156358668266406
2022-02-27 23:38:26.158266,0.6,0.6,2.0,2.0,1000000,90.81150770187378,1998204,1.497585,"[1.494,1.501]",0.0037000606565466506,0.0012605535240126572,1.4987616558285022,"[1.49,1.507]",0.008275065117951291,0.002816973587852347,1.0007857021995428,"[0.9973,1.004]",0.003473114335679745,0.0017706059410582732,5,0.004947,"[0.004672,0.005222]",0.00027511675422799245,0.028373901542884414,0.003303318342531476,"[0.003121,0.003485]",0.00018192054109342275,0.02809798904442122,0.000955,0.001226,0.002181,0.5621274644658414,2.101570680628272,2.3980424143556283,3.4902069570461327,4.180877081398412,0.019702527191,0.2,0.2,1.0,1.0,0.500619,"[0.4987,0.5025]",0.0018946435240563596,0.001930919240405235,110.77794027328491,1.0018810160340108,"[0.9932,1.011]",0.008647537093196291,0.004403725243226629,110.86367344856262,2.0012844419289135,"[1.989,2.013]",0.012143261754881932,0.0030957826792991795,111.11714196205139,0.025095,"[0.02451,0.02568]",0.0005874876973431529,0.011944157046959369,111.5622546672821,0.050127941608288935,"[0.04904,0.05121]",0.0010856437381956219,0.011049722942039718,111.69217348098755,0.011444,0.000425,0.011869,0.03580756592804785,2.1277525340789936,1.7529411764705882,3.1953185769989956,1.8566089965397925,0.089843240975,0.003828,"[0.0036,0.004056]",0.0002279451047767984,0.03038101432740473,127.28576254844666,0.007646533591413829,"[0.007199,0.008094]",0.0004478320872185183,0.029880959267807487,127.41486883163452,0.001754,5.9e-05,0.001813,0.03254274682846112,2.120296465222349,1.847457627118644,3.0396906760764444,2.06147658718759,0.013525346415999997
2022-03-05 17:25:52.696106,0.6,1.5,2.0,0.8,100000,16.523839712142944,1808026,1.591914572675243,"[1.319,1.865]",0.27316639299549045,0.0875490500956679,1.5345321787298112,"[1.466,1.603]",0.06826237829362419,0.022696001107117537,0.9639538484474078,"[0.7953,1.133]",0.16869828897091185,0.08928908343074053,5,0.004941113500841321,"[0.004653,0.005229]",0.00028773119894357196,0.029710232741885303,0.0031038810660158006,"[0.002541,0.003666]",0.0005624437997209033,0.09245235761398936,0.60666,0.05171,0.65837,0.0785424609262269,0.003241517741054207,0.05752493421104962,0.001300601331539851,0.023457257424194182,0.0021550719191353964,0.2,0.5,1.0,0.4,0.4904764146010509,"[0.4122,0.5688]",0.07829987472464382,0.08144920833417194,1.0016959016863276,"[0.8461,1.157]",0.15563856159005152,0.07927299018494448,2.042291681856095,"[1.598,2.486]",0.44415048360387727,0.11095740711623886,5,0.020501368459230986,"[0.01757,0.02344]",0.00293520034670146,0.07304640176945715,0.04179888746721209,"[0.03319,0.0504]",0.008604447765809188,0.10502730183319918,0.62763,0.001,0.62863,0.0015907608609197778,0.030658822021637604,1.2589719937905774,0.22463584916599078,81.52310725946462,0.224265958852467,10,0.003041518767580784,"[0.00246,0.003623]",0.0005814985326674533,0.09754433475559782,0.006201151935215332,"[0.004657,0.007746]",0.0015446149062810497,0.1270842640155154,0.44784,0.00713,0.45497000000000004,0.015671362947007494,0.006687516056543904,0.0065331804794056285,0.0195741135670745,0.0034954542388623256,0.008802075788588121
2022-03-05 17:27:41.833741,0.6,0.8998870926555549,2.0,1.0758906952016303,100000,20.458722829818726,2383494,1.5465628457279224,"[1.47,1.623]",0.07693284476137904,0.025379797217611508,1.5095605433556734,"[1.486,1.533]",0.023772007992918273,0.008034507499533456,0.9760744915898758,"[0.9305,1.022]",0.045600882807400774,0.023836046054734817,5,0.0050320406815088535,"[0.004898,0.005166]",0.0001342699648468118,0.01361377787688613,0.0032536929846781735,"[0.003068,0.003439]",0.00018538905136712656,0.029070428938109905,0.27386,0.31401,0.58787,0.5341487063466412,0.006981596995120055,0.009936182059250585,0.000451136174370601,0.0010404693200847112,0.0004692946548303853,0.2,0.6142637224394023,1.0,0.2424444477171096,0.5158370719306337,"[0.4756,0.5561]",0.040235940627865535,0.03979656029729215,0.9954395579178948,"[0.9659,1.025]",0.02958768981055668,0.015164918841483289,1.9297557544521635,"[1.786,2.074]",0.14379528204467834,0.038017733409760425,5,0.0247574842423269,"[0.02371,0.02581]",0.0010508798583401893,0.021656610493325148,0.047994775074359376,"[0.04376,0.05223]",0.0042352253942644,0.045022177506616884,0.57536,0.00377,0.57913,0.006509764646970456,0.04150937103040776,0.2320033226184297,0.04701117674897719,0.29639143570714915,0.02874709695608852,10,0.003718262373923273,"[0.003536,0.003901]",0.00018244789022936638,0.025034720231985923,0.007208210840695994,"[0.006542,0.007875]",0.0006663996648100188,0.04716840787524391,0.48517,0.00619,0.49135999999999996,0.012597688049495279,0.007451978550376155,0.01660516003833179,0.0017347334664080277,0.001620288708790635,0.0008664939777474732
2022-03-06 18:44:29.417003,0.6,0.8204897498205567,2.0,1.3366737345090036,100000,21.14421248435974,2338402,1.5064181801702272,"[1.482,1.531]",0.024610160675053297,0.008335138669548409,1.4933340915326077,"[1.477,1.51]",0.016225270564158345,0.005543434194910676,0.9913144379098365,"[0.9741,1.008]",0.017181025247900345,0.00884263244122114,5,0.005043963323931651,"[0.004905,0.005183]",0.00013903226857594198,0.014063312191334654,0.0033483154879089924,"[0.003238,0.003459]",0.00011041464208088076,0.016824579782012773,0.11301,0.20099,0.314,0.6400955414012739,0.017071416687171645,0.015496902950964644,0.0011379581944314981,0.0015862107954082573,0.0005031750235675986,0.2,0.5791510463854309,1.0,0.4373962955149862,0.502812725858353,"[0.493,0.5126]",0.009798239125258748,0.009942273410017197,1.0077906572257815,"[0.99,1.026]",0.017797188591217476,0.009010004404903856,2.00430618677238,"[1.959,2.049]",0.04501035873644542,0.011457565163766253,5,0.02503519659969884,"[0.02427,0.0258]",0.0007663735531640141,0.015618288169716337,0.049790300269272586,"[0.04797,0.05161]",0.0018221485783848975,0.01867166168923152,0.41457,0.0079,0.42247,0.018699552630956046,0.05844992809688844,0.10172277323693586,0.03453409238355043,0.012724456890224388,0.015288640748366207,10,0.003858708870320093,"[0.003782,0.003935]",7.673648150482008e-05,0.010146208845924173,0.007674246636723206,"[0.007453,0.007895]",0.00022091023613800615,0.014686692972923427,0.40381,0.01015,0.41396,0.024519277224852642,0.00930927471225627,0.009805975247673725,0.0003217827332023699,0.00022280732367611095,0.00015328216351883581,15,0.0006191287281434323,"[0.000604,0.0006342]",1.5101583466973578e-05,0.012444729462111368,0.00123133066508314,"[0.001191,0.001271]",3.987031374372459e-05,0.016520336400985557,0.39586,0.0166,0.41246,0.04024632691654948,0.00152322512918429,0.0009725800303939406,1.3428937225168905e-05,4.198264065558279e-06,5.936532257652275e-06
