lam1,lam2,mu1,mu2,test_flow,test_cycles,cycle_mean,cycle_halfCI,cycle_halfCI/1.96/mean,lam1_new,lam2_new,mu1_new,mu2_new,gamma_l,gamma_u,rho,n_cycles,policy,threshold,tolerance,precision,test_flow,gamma_l_new,gamma_u_new,precision,gamma,mean,halfCI,mean-halfCI,mean+halfCI,halfCI/1.96/mean,time
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.838755516,0.567375793,1.31177536,0.394238016,28.18460307,49.05157565,0.1,5000,0,0.99999,0.5,100,1,28.20163559,28.39538057,0.002129066,28.30915341,1.03E-05,3.89E-07,9.91E-06,1.07E-05,0.019299032,171.3755715
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.874181444,0.575177569,1.366742727,0.37883827,28.22200992,48.9733285,0.1,5000,1,0.99999,0.5,100,1,28.22200992,28.34481132,0.004234531,28.24953437,1.03E-05,4.21E-07,9.92E-06,1.08E-05,0.02076002,171.6054108
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.869412444,0.547566082,1.332945,0.404895166,28.15665067,48.52149236,0.1,5000,2,0.99999,0.5,100,1,28.227297,28.42676897,0.004155666,28.31664382,9.92E-06,3.49E-07,9.57E-06,1.03E-05,0.017954739,178.1492999
0.4,0.2,1,2,1,100000,0.66658,0.006127096,0.004689714,0.62035777,0.34418726,0.636129009,1.099844926,29.44027518,79.38641367,0.1,5000,0,0.99999,0.5,100,1,56.54134656,57.27929212,0.023060799,56.92184974,9.64E-06,5.66E-07,9.07E-06,1.02E-05,0.029930926,248.0310259
0.4,0.2,1,2,1,100000,0.66658,0.006127096,0.004689714,0.619476712,0.347264366,0.640663241,1.06308522,27.11061437,74.81199367,0.1,5000,1,0.99999,0.5,100,1,57.04448127,57.78956956,0.016557518,57.499813,9.11E-06,5.65E-07,8.55E-06,9.67E-06,0.031618128,281.135618
0.4,0.2,1,2,1,100000,0.66658,0.006127096,0.004689714,0.606140846,0.324311528,0.629642697,1.014496789,25.57478212,67.92499019,0.1,5000,2,0.99999,0.5,100,1,56.64130449,57.01885106,0.015731107,57.01885106,9.42E-06,5.65E-07,8.85E-06,9.99E-06,0.030624452,395.4462097
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.849744706,0.562618612,1.36044564,0.422053735,16.70857359,31.17990247,0.1,5000,0,0.99999,0.5,100,1,29.51519831,29.68271571,0.004653261,29.61059016,9.98E-06,3.65E-07,9.62E-06,1.03E-05,0.018674638,177.2598841
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.875590284,0.57516949,1.350601072,0.421039593,21.47244425,36.02684947,0.1,5000,0,0.99999,0.5,100,1,29.50364023,29.70523912,0.004199977,29.70523912,9.69E-06,4.16E-07,9.28E-06,1.01E-05,0.021884177,178.3747456
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.869168964,0.57785044,1.355306864,0.429594159,21.58998334,37.50575495,0.1,5000,0,0.99999,0.5,100,1,29.45142797,29.62825183,0.00505211,29.57520467,1.01E-05,3.80E-07,9.77E-06,1.05E-05,0.019129728,187.1328251
0.6,0.2,2,1,0,100000,1.49824,0.011704592,0.003985831,0.9443599,0.683677034,1.03755087,0.124040154,8.362014681,12.03444504,0.1,5000,0,0.99999,0.5,100,0,11.29253991,11.77477824,0.004871094,11.77477824,7.77E-06,5.16E-07,7.26E-06,8.29E-06,0.0338715,291.5884123
0.6,0.2,2,1,0,100000,1.49824,0.011704592,0.003985831,0.9443599,0.683677034,1.03755087,0.124040154,8.362014681,12.03444504,0.1,5000,0,0.99999,0.5,100,0,11.53365908,1.00E-05,9.10E-07,9.12E-06,1.09E-05,0.046310224,130.7328322,,,
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.869168964,0.57785044,1.355306864,0.429594159,21.58998334,37.50575495,0.1,5000,0,0.99999,0.5,100,1,29.43751826,29.62825183,0.003739874,29.62825183,9.61E-06,3.95E-07,9.21E-06,1.00E-05,0.020983223,174.070729
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.869168964,0.57785044,1.355306864,0.429594159,21.58998334,37.50575495,0.1,5000,0,0.99999,1,50,1,29.48489546,29.68375974,0.013257619,29.5843276,1.03E-05,6.64E-07,9.64E-06,1.10E-05,0.032866654,145.2695367
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.869168964,0.57785044,1.355306864,0.429594159,21.58998334,37.50575495,0.1,5000,0,0.99999,1,100,1,29.43988029,29.62825183,0.00649557,29.59252619,1.01E-05,3.71E-07,9.69E-06,1.04E-05,0.01880641,165.7822225
0.6,0.2,2,1,0,100000,1.49824,0.011704592,0.003985831,0.9443599,0.683677034,1.03755087,0.124040154,8.362014681,12.03444504,0.1,5000,0,0.99999,1,100,0,11.45328602,11.54096572,0.004871094,11.49956142,1.11E-05,1.39E-06,9.72E-06,1.25E-05,0.063646933,287.4199998
0.6,0.2,2,1,0,100000,1.49824,0.011704592,0.003985831,0.771689931,0.578014182,1.062912978,0.197351717,5.636675676,8.362014681,0.1,5000,0,0.999,1,100,0,6.878524875,6.966116119,0.001946472,6.922320497,0.000989053,3.39E-05,0.000955141,0.001022965,0.017493451,163.3831391
0.6,0.2,2,1,0,100000,1.49824,0.011704592,0.003985831,0.771689931,0.578014182,1.062912978,0.197351717,5.636675676,8.362014681,0.1,5000,0,0.999,1,100,0,6.878524875,6.966116119,0.001946472,6.922320497,0.000989053,3.39E-05,0.000955141,0.001022965,0.017493451,161.6601775
0.6,0.2,2,1,0,100000,1.49824,0.011704592,0.003985831,0.9443599,0.683677034,1.03755087,0.124040154,8.362014681,12.03444504,0.1,5000,0,0.99999,1,100,0,11.45328602,11.54096572,0.004871094,11.49956142,1.11E-05,1.39E-06,9.72E-06,1.25E-05,0.063646933,283.5041006
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.85787161,0.58792364,1.369807393,0.445098318,10.94205989,21.58998334,0.1,5000,0,0.999,1,100,1,16.72611707,16.8738691,0.004345648,16.80651156,0.001010058,2.44E-05,0.000985641,0.001034474,0.012333397,123.829267
0.6,0.2,2,1,1,100000,0.5011,0.005977386,0.006085984,0.869168964,0.57785044,1.355306864,0.429594159,21.58998334,37.50575495,0.1,5000,0,0.99999,1,100,1,29.43988029,29.62825183,0.00649557,29.59252619,1.01E-05,3.71E-07,9.69E-06,1.04E-05,0.01880641,164.0190797
